央视,#genre#

CCTV1,http://39.130.215.166:6410/gitv_live/CCTV-1-HD/CCTV-1-HD.m3u8
CCTV1,http://223.110.241.137:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ/.m3u8
CCTV1,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
CCTV2,http://39.130.215.166:6410/gitv_live/G_CCTV-2-HD/G_CCTV-2-HD.m3u8
CCTV2,http://223.110.241.137:6610/gitv/live1/G_CCTV-2-HD/G_CCTV-2-HD/.m3u8
CCTV2,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV3,http://223.110.241.137:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ/.m3u8
CCTV3,http://39.130.215.166:6410/gitv_live/CCTV-3/CCTV-3.m3u8
CCTV4,http://39.130.215.166:6410/gitv_live/G_CCTV-4-HD/G_CCTV-4-HD.m3u8
CCTV4,http://223.110.241.137:6610/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ/.m3u8
CCTV4,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8
CCTV4美洲,http://cctvalih5ca.v.myalicdn.com/live/cctvamerica_2/index.m3u8
CCTV4欧洲,http://cctvalih5ca.v.myalicdn.com/live/cctveurope_2/index.m3u8
CCTV5,http://223.110.241.137:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/.m3u8
CCTV5,http://39.130.215.166:6410/gitv_live/CCTV-5/CCTV-5.m3u8
CCTV5+,http://39.130.215.166:6410/gitv_live/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV5+,http://223.110.241.137:6610/gitv/live1/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ/.m3u8
CCTV6,http://223.110.241.137:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ/.m3u8
CCTV6,http://39.130.215.166:6410/gitv_live/CCTV-6/CCTV-6.m3u8
CCTV7,http://39.130.215.166:6410/gitv_live/G_CCTV-7-HD/G_CCTV-7-HD.m3u8
CCTV7,http://223.110.241.137:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ/.m3u8
CCTV7,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226803/index.m3u8
CCTV8,http://223.110.241.137:6610/gitv/live1/G_CCTV-8-HQ/G_CCTV-8-HQ/.m3u8
CCTV8,http://39.130.215.166:6410/gitv_live/G_CCTV-8/G_CCTV-8.m3u8
CCTV9,http://39.130.215.166:6410/gitv_live/G_CCTV-9-HD/G_CCTV-9-HD.m3u8
CCTV9,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8
CCTV9,http://223.110.241.137:6610/gitv/live1/G_CCTV-9/G_CCTV-9/.m3u8
CCTV10,http://39.130.215.166:6410/gitv_live/G_CCTV-10-HD/G_CCTV-10-HD.m3u8
CCTV10,http://223.110.241.137:6610/gitv/live1/G_CCTV-10-HQ/G_CCTV-10-HQ/.m3u8
CCTV11,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8
CCTV11,http://39.130.215.166:6410/gitv_live/CCTV-11/CCTV-11.m3u8
CCTV11,http://223.110.241.137:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ/.m3u8
CCTV12,http://39.130.215.166:6410/gitv_live/G_CCTV-12-HD/G_CCTV-12-HD.m3u8
CCTV12,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225816/index.m3u8
CCTV12,http://223.110.241.137:6610/gitv/live1/CCTV-12/CCTV-12/.m3u8
CCTV13,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
CCTV13,http://223.110.241.137:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/.m3u8
CCTV13,http://39.130.215.166:6410/gitv_live/CCTV-13/CCTV-13.m3u8
CCTV14,http://39.130.215.166:6410/gitv_live/G_CCTV-14-HD/G_CCTV-14-HD.m3u8
CCTV14,http://223.110.241.137:6610/gitv/live1/G_CCTV-14/G_CCTV-14/.m3u8
CCTV15,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226989/index.m3u8
CCTV15,http://39.130.215.166:6410/gitv_live/G_CCTV-15/G_CCTV-15.m3u8
CCTV15,http://223.110.241.137:6610/gitv/live1/G_CCTV-15/G_CCTV-15/.m3u8
CCTV17,http://39.130.215.166:6410/gitv_live/G_CCTV-17-HD/G_CCTV-17-HD.m3u8
CCTV17,http://211.137.115.110:8080/gitv_live/G_CCTV-17-HD/G_CCTV-17-HD.m3u8
CCTV17,http://117.169.120.98:8080/ysten-businessmobile/live/HD-4000k-1080P-cctv17/1.m3u8
CCTV4K,http://111.161.121.211/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8
CCTV4K,http://112.17.40.12/wh7f454c46tw1099172031_1459911128/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/index.m3u8?fmt=ts2hls
CCTV4K,http://110.242.20.87/livews-4k.5club.cctv.cn/live/4K1218.stream/playlist.m3u8
